track_id,genre_track,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3bUw9o4pis3Z5rOeJZJgDS,kpop,209648.0,False,0.806,0.707,7.0,-4.623,1.0,0.0307,0.331,0.0,0.294,0.746,118.009,4.0
1LYjQplNruIsggadsDSYDU,kpop,219997.0,False,0.802,0.862,6.0,-3.876,0.0,0.0553,0.328,0.0,0.106,0.793,123.989,4.0
50dC3YI7XbSjmdXmcIFLh5,kpop,146500.0,False,0.613,0.56,2.0,-5.48,1.0,0.328,0.282,0.0,0.129,0.598,88.443,1.0
3dyDvQiRXHqnn4orAlkk6T,kpop,203032.0,True,0.731,0.693,1.0,-7.372,0.0,0.0893,0.603,0.0677,0.111,0.798,161.991,4.0
6wo3lATs93o0gwYFk5lPQS,kpop,218680.0,True,0.831,0.652,6.0,-5.954,0.0,0.368,0.0611,0.0,0.347,0.506,130.141,4.0
1q97NRLZfQlXYvZJAQ7tln,kpop,207226.0,False,0.567,0.563,3.0,-6.303,0.0,0.0362,0.156,1.58e-06,0.119,0.494,179.851,4.0
61neaW7yfr0oTz8CdolEEe,kpop,214154.0,False,0.788,0.538,5.0,-5.32,1.0,0.106,0.279,0.0,0.193,0.644,136.052,4.0
6R1eAccx1fnh8P5HhFzn84,kpop,259651.0,False,0.571,0.747,7.0,-4.659,1.0,0.17,0.478,0.0,0.116,0.635,106.253,4.0
2pgA52OmWm6D6oR9IJEdeB,kpop,63854.0,False,0.809,0.572,9.0,-10.691,0.0,0.11,0.000102,0.907,0.0875,0.794,127.987,4.0
3s0jaAf7JNkD3vtb39ub42,kpop,212280.0,False,0.547,0.94,1.0,-4.089,1.0,0.0601,7.87e-05,0.897,0.0655,0.514,89.994,4.0
4HGBfV6KW1kF70QSWkH4OP,kpop,55576.0,False,0.743,0.129,7.0,-19.002,0.0,0.061,0.989,0.311,0.22,0.826,107.934,4.0
6bc8VmlNt5S9WJlyw8bBdd,kpop,232694.0,False,0.742,0.749,6.0,-5.06,0.0,0.0378,0.232,0.0,0.119,0.485,98.013,4.0
0tfSZHuscf970voflvUcXT,kpop,228280.0,False,0.842,0.703,1.0,-5.627,0.0,0.0305,0.0891,0.00226,0.0744,0.607,120.004,4.0
1ntfBEUqyPAQNanGox9H2X,kpop,84256.0,False,0.658,0.76,1.0,-4.865,1.0,0.0671,0.303,0.000146,0.253,0.367,93.947,4.0
6Of49ORQzv5uh3OMwmZMw2,kpop,196920.0,False,0.715,0.796,1.0,-5.058,1.0,0.0609,0.071,0.0,0.0531,0.404,120.138,4.0
2W8mXB0iCHJBOkvFNTB44T,kpop,65199.0,False,0.415,0.552,6.0,-9.621,1.0,0.0355,0.924,0.784,0.215,0.211,64.52,4.0
56iuBfNjX2IdPnsutNwYuL,kpop,46400.0,False,0.582,0.0218,1.0,-26.087,0.0,0.121,0.984,0.0,0.144,0.347,121.647,1.0
3HLLUrOUQCdGcXgbKn4BDg,kpop,180106.0,False,0.686,0.93,5.0,-1.484,1.0,0.207,0.0554,0.0,0.259,0.656,159.978,4.0
5kiRgYS6PfVKE47F769lQJ,kpop,48297.0,False,0.404,0.708,7.0,-9.132,0.0,0.0366,0.314,0.998,0.368,0.817,164.113,4.0
5KeOEPBxkoaIQ4ho18gjSD,kpop,43920.0,False,0.673,0.133,8.0,-21.084,1.0,0.45,0.988,1.36e-06,0.0649,0.6,163.917,4.0
34hqFg2DvkGdDHxAvmAGcD,kpop,178899.0,False,0.223,0.556,4.0,-9.212,1.0,0.0401,0.61,0.684,0.317,0.307,117.489,4.0
7iU5R10YKVVBRTJ9jfdDKJ,kpop,168097.0,True,0.621,0.641,10.0,-8.435,0.0,0.505,0.228,0.0,0.074,0.511,65.021,4.0
5Rte10D20zD8SAu32smfDP,kpop,196812.0,False,0.623,0.738,6.0,-3.996,0.0,0.215,0.392,0.0,0.103,0.404,87.987,4.0
4cn4T40bcalc5bnh6VY2en,kpop,32716.0,False,0.639,0.331,8.0,-13.244,1.0,0.0327,0.477,0.976,0.322,0.637,132.024,4.0
2ZRdQMMKtmPLdYp9aP5cK5,kpop,118800.0,True,0.68,0.607,2.0,-5.523,1.0,0.222,0.264,1.39e-05,0.354,0.506,141.992,4.0
43I4GD8VvEaCBSX5WiEct3,kpop,208545.0,False,0.408,0.778,11.0,-8.04,0.0,0.0439,3.39e-06,0.00363,0.0759,0.731,107.476,4.0
6o2ZF4jsIbg5WhTVkUMzrC,kpop,196600.0,False,0.794,0.845,2.0,-2.217,1.0,0.0551,0.234,8.75e-05,0.109,0.814,95.989,4.0
25sBTXed49RPy1EVJsNNK5,kpop,271026.0,False,0.644,0.766,9.0,-10.428,1.0,0.0317,0.522,0.0003,0.0748,0.422,125.857,4.0
79r0T2eehj5l0baOIlqP2o,kpop,214720.0,False,0.522,0.843,9.0,-4.66,1.0,0.0356,0.202,0.0,0.0938,0.435,74.941,4.0
3EHiqwOpvI2vUqvLMgfsTJ,kpop,182711.0,False,0.702,0.436,9.0,-6.3,1.0,0.0328,0.756,0.0,0.0939,0.57,129.784,4.0
2676srB8CjcdDJhncggSx1,kpop,206869.0,False,0.591,0.942,2.0,-2.795,1.0,0.0422,0.0374,0.000364,0.511,0.524,115.004,4.0
3mUT6JYcWWNQlWt9knySpQ,kpop,197225.0,False,0.611,0.882,4.0,-3.377,1.0,0.029,0.142,0.0,0.319,0.746,100.024,4.0
6Ei9l45vhu28Y146PsLyJw,kpop,161173.0,False,0.718,0.666,6.0,-3.828,1.0,0.0458,0.382,0.0,0.146,0.602,117.959,4.0
12SRR8rnbLMhHnO8ZfMoKr,kpop,273004.0,False,0.626,0.803,0.0,-4.877,1.0,0.0373,0.35,0.0,0.187,0.584,127.937,4.0
207eSXfNZYShseo64AHkvn,kpop,135717.0,False,0.723,0.908,0.0,-2.989,1.0,0.0528,0.0327,0.0,0.225,0.72,128.004,4.0
7DMsSbvw9BOp4BpxraTtNX,kpop,172400.0,False,0.785,0.904,0.0,-1.838,1.0,0.0388,0.0372,4.92e-06,0.147,0.58,125.005,4.0
0dptWLiocftQXEF2XB6xBM,kpop,182293.0,False,0.801,0.677,5.0,-4.503,1.0,0.0437,0.47,0.0,0.417,0.606,91.966,4.0
7hq6KUVaOPC0502HMlhNp9,kpop,160030.0,True,0.828,0.424,5.0,-12.06,0.0,0.519,0.00689,0.0,0.0732,0.435,89.993,4.0
2ZrT11sAWqmrkVy1hO5MMJ,kpop,43371.0,False,0.547,0.454,9.0,-15.489,1.0,0.0334,0.817,0.948,0.248,0.771,94.11,4.0
65eBRMPIMrQVndALJMc4fX,kpop,204594.0,False,0.768,0.901,0.0,-1.865,1.0,0.102,0.215,1.95e-06,0.0369,0.841,151.972,4.0
1pqG8egYsdWZiHSMT1QTaL,kpop,196576.0,True,0.53,0.682,0.0,-8.285,1.0,0.134,0.11,7.56e-05,0.289,0.279,140.358,4.0
3UBTSwfElFiLU37b2ytCjB,kpop,43000.0,False,0.875,0.331,0.0,-9.319,1.0,0.047,0.466,0.0,0.217,0.967,120.175,4.0
31qztJynhcLPgXXTByPr1b,kpop,78566.0,False,0.478,0.918,10.0,-3.277,1.0,0.0635,0.000553,0.679,0.0796,0.727,165.022,4.0
7zRXkZJQJYuSIqqv7PaPvb,kpop,145000.0,True,0.65,0.732,6.0,-7.754,0.0,0.226,0.498,0.0,0.0557,0.886,95.928,4.0
6e7LAMXBKYOgLzn6gpTkEl,kpop,168013.0,False,0.492,0.956,0.0,-4.193,1.0,0.0528,0.0235,1.45e-05,0.353,0.645,170.037,4.0
1yC9gn1HccSrrWs9sNT2fQ,kpop,196125.0,True,0.688,0.684,7.0,-5.036,1.0,0.364,0.258,2.77e-05,0.37,0.942,80.631,4.0
1pvBm1ydKLXorYDdlIAeuj,kpop,167106.0,False,0.63,0.758,7.0,-3.696,1.0,0.0789,0.282,0.0,0.0934,0.574,94.115,4.0
25SJcZXOn89sHTfP3g5tsu,kpop,123306.0,False,0.593,0.446,6.0,-9.223,1.0,0.0334,0.0667,8.82e-06,0.141,0.545,120.939,4.0
1ZaNEyIauBNkOqsZQXq07n,kpop,183904.0,False,0.391,0.0235,1.0,-46.129,1.0,0.0523,0.000462,0.223,0.11,0.0366,131.271,4.0
2LQRrFVe8vF5Lxu4MOcUJd,kpop,173600.0,False,0.32,0.628,11.0,-2.465,0.0,0.0307,0.788,0.0,0.0755,0.571,132.131,4.0
0gVZCfwtKevybb2TfwOtHk,kpop,223343.0,False,0.831,0.757,4.0,-7.002,0.0,0.0492,0.0144,0.00103,0.331,0.827,125.97,4.0
27IwqiGCBj9SeeFdJXATHN,kpop,183904.0,False,0.414,0.0131,0.0,-42.49,0.0,0.526,0.00435,1.29e-05,0.338,0.0394,98.207,3.0
4KiimJYVPw7BYFTxNzCBI9,kpop,60162.0,False,0.508,0.119,2.0,-19.334,0.0,0.155,0.929,0.123,0.0833,0.714,195.773,4.0
1Zt1CIwPuCUd5va0aMwhYn,kpop,218925.0,False,0.48,0.698,1.0,-6.398,1.0,0.223,0.578,0.0,0.379,0.56,77.743,4.0
0uIHaCZLqjVL99Y9etfCVz,kpop,143000.0,False,0.508,0.0153,1.0,-38.138,1.0,0.525,0.00226,0.0607,0.155,0.217,106.878,4.0
4V6l9rwMlYGWAlQDf3gWlU,kpop,241320.0,False,0.644,0.864,5.0,-4.71,0.0,0.0508,0.0398,0.0,0.138,0.427,129.979,4.0
